ANZAC War Memorial Sydney (Greg O'Beirne),0.310335,0.247471,0.00150411,0.24806,0.214767,0.00120434,0.641981,1.10558,0.833101
Admiralty Arch London (Diliff),0.436189,0.176436,0.00251301,0.29861,0.191173,0.000974687,0.0108966,2.84869,-1.00571
Allen County Courthouse Indiana Fort Wayne (Tysto),0.300605,0.168779,0.00262003,0.317097,0.186281,0.00100632,0.782474,1.67342,-0.666043
Angel Falls Venezuela (Paulo Capiotti),0.355768,0.25188,0.00156002,0.254578,0.180502,0.00129037,0.215843,0.398982,0.645945
Armed Forces Memorial United Kingdom (Bs0u10e01),0.29172,0.318838,0.00239208,0.232093,0.292978,0.000945646,0.492805,0.431607,-0.485233
Baptistry of St. John  Pisa (NotFromUtrecht),0.469051,0.200683,0.0028052,0.171956,0.152968,0.000912881,-1.01312,1.38472,-1.10873
Basilica Santa Maria Alicante (Zeisterre),0.293597,0.383531,0.00210972,0.261184,0.220228,0.000772871,0.614698,0.325504,-0.511296
Basilica di Santa Croce Lecce (Tango7174),0.31166,0.290532,0.00247258,0.268571,0.160652,0.000898022,0.72282,1.25094,-0.600462
Basilica of Our Lady of the Pillar Zaragoza (Willtron),0.48568,0.40764,0.00254178,0.230298,0.175027,0.0013278,-0.90835,-0.444317,-0.600338
Basilica of Saint Mary Major Rome (JACurran),0.329282,0.422273,0.00229219,0.249894,0.239025,0.000979713,0.295138,0.0856349,-0.544099
Blue Domed Church in Santorini (Hhss8228),0.529054,0.476681,0.00277902,0.227594,0.240905,0.000690158,-1.3175,-0.349152,-0.500004
Bolivar Square Bogota Colombia (Martin St-Amant),0.572239,0.342835,0.00164298,0.297322,0.221867,0.000812015,-0.908019,1.0679,0.253087
Booker T. Washington National Monument Virginia (MarmadukePercy),0.38827,0.250225,0.00259343,0.220665,0.163407,0.00105424,-0.0125113,0.0903499,-0.504507
Boyana Church Sofia (Aleksander Dragnes),0.221772,0.38476,0.00170983,0.19868,0.241546,0.00112152,1.61623,0.732149,0.318094
Bran Castle in Transylvania (Simbotin),0.376541,0.240951,0.00211619,0.199903,0.122554,0.00115224,0.120684,0.0822611,-0.0520126
