ANZAC War Memorial Sydney (Greg O'Beirne),0.252569,0.262044,0.00118256,0.195056,0.146493,3.56038e-005,0.00107447,0.000740051,9.91821e-005,0.140455,0.00025177,0.112211,0.158707,0.0251795,0.487292,0.0156174,0,0.0104942,0.00203705,2.79744e-005,0.187394,0.00104014,0.517401,0.338333,0.000348409,0.0140177,0.0452131,0,0.000156403,0.000526428,0,0.0839818,2.16166e-005,0.283524,0.0447133,0.0963122,0.281452,0.23024,0,0.00222015,0.000588735,0,0.0370572,0.0238927,0.385585,1.27157e-005,0.0546036,0.402078,0.0328484,0,0.0110664,0.000205994,2.03451e-005,0.113389,0.000190735,0.664653,0.0955213,0.0110944,0.056483,0.124777,0,0.000947316,0.00100708,1.27157e-006,0.0449142,0.000601451,0.281217,0.00190353,0.179726,0.102112,0.316442,0,0.0292931,0.00335185,1.14441e-005,0.0792643,0.00667953,0.255053,0.000175476,0.176628,0.204965,0.208134,2.54313e-006,0.0274213,0.00299835,2.54313e-006,0.1188,0.00581996,0.732309,0.00227102,0.0106926,0.0210737,0.209653,0,0.0014623,0.00296911,1.27157e-006,0.0181999,0.0013682
Admiralty Arch London (Diliff),0.00862011,0.194881,6.89212e-005,0.0444617,0.000114869,0,0.00103799,0.000121917,5.2213e-007,0.750693,0,0.000540144,0.885189,1.04426e-005,0.0718182,2.61065e-007,0,0.000208069,0.00051482,0.000513254,0.0412055,0,0.00903442,0.828669,0.000268636,0.0226153,0.000179613,0,0.00020102,6.65716e-005,2.61065e-007,0.138965,0,0.163881,0.0441529,0.0156864,0.453317,0.00754765,0,0.00149512,0.00026472,1.09647e-005,0.313644,0,0.117824,0.0999898,0.0738493,0.391601,0.00650653,0,0.0253894,0.00996955,0.0134289,0.261427,1.54028e-005,0.118804,0.094446,0.125099,0.35558,0.0113216,1.04426e-006,0.0379722,0.000480882,0.000770925,0.255486,3.75934e-005,0.168115,0.0460078,0.0808936,0.486566,0.0201824,1.22701e-005,0.0137263,0.110294,0.000280384,0.0739101,1.30533e-005,0.311279,0.0273139,0.158546,0.209352,0.0146578,0.000571994,0.120708,0.0654347,0.00399221,0.0863131,0.00183215,0.0998386,0.00401649,0.111677,0.453456,0.0117388,0.00174104,0.139284,0.0486988,0.00202012,0.127332,0.000196321
Allen County Courthouse Indiana Fort Wayne (Tysto),0.00382222,0.0228564,0.0216796,0.433697,0.0205698,0.00059137,0.0882856,0.00467576,0.00722456,0.392275,0.00432291,0.0031934,0.00106249,0.0316166,0.133533,0.0024325,4.53383e-005,0.0118806,0.000197123,0.00121625,0.814821,1.97123e-006,0,0,0,0,0,0,0,0,0,1,0,0.0675758,0.00238716,0.281577,0.357844,0.0336686,0.000167555,0.0699038,0.004865,0.0199055,0.162106,0,0.0478517,0.000654449,0.225852,0.536063,0.00686777,6.70219e-005,0.0621293,0.000307512,0.00159276,0.118609,5.9137e-006,0.0161878,0.00112754,0.137777,0.198495,0.00709249,0.0060576,0.0212696,0.000898882,0.00667656,0.604076,0.000341023,0.238767,0.000747097,0.311214,0.30247,0.0646544,0.00178594,0.0282714,0.00718908,0.0217801,0.0225824,0.000538146,0.131071,0.000788493,0.246583,0.468708,0.0557543,0.0161247,0.042622,0.00118668,0.0225272,0.00900064,0.00563378,0.102338,0.00181748,0.323879,0.350097,0.0892258,0.0263889,0.0367024,0.00205008,0.033988,0.0152475,0.0182654
Angel Falls Venezuela (Paulo Capiotti),0.209996,0.383315,0.233049,0.0504358,0.00665401,0.088992,0.000399674,0.00196849,0.0102884,0.0092418,0.00565893,0.249157,0.612094,0.0773223,0.0460984,0.00576277,0.00205141,0.000130734,0.00689381,0.000327957,2.98821e-006,0.000158375,0.0101928,0.629618,0.00218588,0.00454059,0.000414615,0,7.47054e-007,9.63699e-005,0,0.352951,0,0.506646,0.000259228,0.193078,0.201269,0.0466274,0.029147,0.0011034,0.0018766,0.0131616,0.00652028,0.000312268,0.674913,0.0239655,0.112137,0.0818562,0.0823485,0.00553417,0.000861353,0.0145205,0.00122591,7.47054e-006,0.00263038,0.484957,0.272983,0.0544841,0.0199067,0.159026,0.0025863,0.00135889,0.000677578,0.00355299,8.96464e-006,0.000457944,0.555582,4.40762e-005,0.0663085,0.0141171,0.334804,0.00110041,0.000600631,0.000397433,0.00160617,0.0130832,0.012357,0.758498,0.00262963,0.0327837,0.0415115,0.143448,3.36174e-005,0.000719413,0.00137682,0.000304798,0.0159683,0.002726,0.903118,0,0.000539373,0.0007859,0.0955422,0,0,0,2.98821e-006,0,1.19529e-005
Armed Forces Memorial United Kingdom (Bs0u10e01),0,0.271518,0,0.0068136,0,0,0,0,0,0.721668,0,0,0.419954,0,5.68689e-005,0,0,0,0,0,0.579989,0,0,0.509597,0,0.00302827,0,0,0,0,0,0.487375,0,0.0244975,0,0.158222,0.00124282,0.0041538,0.0101156,0.00623662,0,3.19887e-005,0.571805,0.223695,0.0398722,0,0.253392,0.15355,0.0458778,0.0113738,0.000291453,0,0,0.467414,0.0282295,0.0713313,0,0.102908,0.124794,0.0466135,0.0113489,0.017967,7.70099e-005,0,0.605008,0.0199527,0.000374387,0,0.451286,0.000309224,0.0366141,8.41185e-005,1.18477e-005,4.73907e-006,0,0,0.511315,0.00496062,0,0.529292,5.92384e-006,0.164224,8.29338e-005,0,0,0,0,0.301435,0.0092791,0,0.480524,0.00613354,0.346078,1.42172e-005,3.90973e-005,5.92384e-006,0,0,0.157926
Baptistry of St. John  Pisa (NotFromUtrecht),0,1,0,0,0,0,0,0,0,0,0,0.0325542,0.792418,0.00633605,0.104714,0.00308365,0,0.00186689,0.000243353,0,0.0587546,2.84207e-005,0,0.999037,0,0,0,0,0,0,0,0.000962753,0,0.012022,0.427489,0.00730768,0.143727,0.0193119,0,0.000898806,1.7763e-006,0,0.389206,3.55259e-005,0.125335,0.056099,0.0148303,0.477472,0.0387481,0,0.002533,0.000602165,0,0.284305,7.46045e-005,0.0961136,0.347794,0.00347977,0.161419,0.0126632,0,0.000248682,0.000348154,0,0.377934,0,0.132997,0.205553,0.0189247,0.11488,0.248268,9.76963e-005,0.00125584,0.000179406,0.00111729,0.276331,0.000396114,0.101897,0.0548982,0.00955115,0.317673,0.228767,1.7763e-006,0.00060927,0.000323286,0.000488482,0.285453,0.000337496,0.123778,0.18881,0.114076,0.255685,0.258899,0.001334,0.00310674,0.00104624,0.00168393,0.0463258,0.00525606
Basilica Santa Maria Alicante (Zeisterre),0.0130798,0.925824,0.0264418,0.0285833,0.00502258,0,8.93061e-005,0.000562629,0,0.000394733,1.78612e-006,0.0418417,0.473733,0.391148,0.0664973,0.00321681,0,0.00944323,0.00142533,0.00919496,0.000798397,0.00270062,0.0032686,0.899804,0.0820973,0.0109739,0.00149677,0,0.000610854,0.000144676,0,3.21502e-005,0.00157179,0.0265311,0.625348,0.218293,0.0481753,0.00932356,0,0.00573345,0.00438314,0.000237554,0.0606031,0.00137174,0.0404039,0.00480646,0.846715,0.0804362,0.00307392,0,0.0133352,7.85894e-005,0,0.00381694,0.00733382,0.249605,0.104676,0.382911,0.091094,0.0234107,0,0.00552626,0.00616748,0.000807327,0.130419,0.00538337,0.227684,0.000476895,0.440956,0.296382,0.0220658,0,0.00325074,0.00246842,1.4289e-005,0.00276135,0.00394019,0.0778607,0,0.822052,0.054625,0.0203707,0,0.00733025,0.0020469,7.14449e-006,0.0083144,0.00739276,0.332062,1.4289e-005,0.579643,0.0473912,0.02203,0,0.00273813,0.0021362,6.96588e-005,0.00775177,0.00616391
Basilica di Santa Croce Lecce (Tango7174),0.00682222,0.882567,0.0442444,0.0113667,0.0153889,1.11111e-005,0.00813333,0.00438889,0.000688889,0.016,0.0103889,0.0182333,0.438744,0.155789,0.0387,0.0887889,6.66667e-005,0.0554667,0.0307,0.00536667,0.108256,0.0598889,0.0067,0.875322,0.0458444,0.00777778,0.0203778,0.0001,0.0105889,0.00401111,0.00285556,0.0158111,0.0106111,0.0441,0.0578,0.5155,0.0932667,0.0863444,0.000155556,0.0433111,0.0227111,0.00762222,0.0649,0.0642889,0.0342778,0.0166889,0.458989,0.117867,0.0705333,6.66667e-005,0.0542556,0.0188333,0.00416667,0.131222,0.0931,0.0450556,0.304556,0.364789,0.0725444,0.0596111,0.000155556,0.0298667,0.00765556,0.00635556,0.0775778,0.0318333,0.0720222,0.00391111,0.416089,0.2947,0.0897444,0,0.0355556,0.0447333,0.00303333,0.0224222,0.0177889,0.0957556,0.00224444,0.345944,0.335789,0.0936667,0,0.0205111,0.0328444,0.00127778,0.0617889,0.0101778,0.0794,0.0018,0.332333,0.405678,0.0684889,8.88889e-005,0.0114778,0.0185,0.00117778,0.0572778,0.0237778
Basilica of Our Lady of the Pillar Zaragoza (Willtron),0.0158588,0.974101,3.0259e-006,0.00834544,0.000865408,0,0,0.000360082,0,0.000465989,0,0.0457849,0.89429,0.0284344,0.0240559,0.000632413,0,0.00361595,0.000562818,9.07771e-006,0.00224219,0.000372186,0,1,0,0,0,0,0,0,0,0,0,0.160128,0.683687,0.0697501,0.0498094,0.00625756,1.21036e-005,0.0114863,0.0073711,0.000242072,0.00762527,0.00363108,0.148021,0.543046,0.143334,0.074646,0.00652384,1.51295e-005,0.0319414,0.00449952,3.0259e-006,0.037851,0.0101186,0.0333303,0.881173,0.0477639,0.0190602,0.000290487,0,0.0107904,0.00252663,0.000390341,0.00417272,0.0005023,0.738774,0.0167817,0.0963689,0.0681978,0.0716836,0,0.00140099,0.00585209,0.000332849,0.000608206,0,0.500896,0.0099068,0.22142,0.126586,0.119871,0,0.00874788,0.00222101,0.000102881,0.00919269,0.00105604,0.314748,0.267532,0.105214,0.133131,0.167532,0,0.00278686,0.00226943,8.47252e-005,0.0056191,0.00108327
Basilica of Saint Mary Major Rome (JACurran),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0375962,0.650525,0.218638,0.0255166,0.0113006,0.000349386,0.00743734,0.00226815,0.00237124,0.0418118,0.00218509,0.0657791,0.42652,0.190544,0.0470812,0.0361328,0.0041554,0.0186206,0.00323325,0.000887784,0.112866,0.0941796,0.256318,0.322254,0.208873,0.0357892,0.0130504,5.72764e-006,0.0164899,0.00115698,9.16422e-005,0.0956888,0.0502829,0.0854564,0.176328,0.431979,0.0415712,0.0211779,0.0102382,0.0416428,0.00160088,0.000518351,0.119699,0.0697884,0.296245,0.00166961,0.278363,0.0874439,0.138288,0.00108539,0.0139268,0.00532098,0.00136604,0.0499164,0.126375,0.248047,0,0.351757,0.0979398,0.114158,2.86382e-006,0.0106076,0.000166102,0.000131736,0.0537825,0.123408,0.209128,0.000386616,0.433001,0.0978224,0.0967112,0.00203045,0.027716,0.000741729,0.00181853,0.0502572,0.0803874
