ANZAC War Memorial Sydney (Greg O'Beirne),0.12131,0.0758527,0.0646911,0.0249668,0.0218141,0.0107212,0.080028,0.0298885,0.0153706,0.0685624,0.00808998,0.0294497,0.0193122,0.0904973,0.0790518,0.260394
Admiralty Arch London (Diliff),0.101504,0.0767593,0.0381306,0.0186388,0.0195524,0.00498457,0.0630213,0.0204273,0.0100938,0.0483392,0.00374744,0.0186137,0.0140302,0.0697677,0.0771088,0.415281
Allen County Courthouse Indiana Fort Wayne (Tysto),0.0975947,0.0897813,0.0588453,0.0192079,0.0238047,0.00433582,0.07855,0.0193972,0.00767905,0.0532993,0.00281999,0.0208986,0.0108409,0.0954204,0.0776496,0.339875
Angel Falls Venezuela (Paulo Capiotti),0.149924,0.0773013,0.0584453,0.0263605,0.0256101,0.0125415,0.0668237,0.0291626,0.0206945,0.0697746,0.0111322,0.0339661,0.0237852,0.0704707,0.0838747,0.240133
Armed Forces Memorial United Kingdom (Bs0u10e01),0.119029,0.0812202,0.0460071,0.0290565,0.0281736,0.00810251,0.0713335,0.0290894,0.0131282,0.0573783,0.00505596,0.0274517,0.0196866,0.0820912,0.0766759,0.30652
Baptistry of St. John  Pisa (NotFromUtrecht),0.105682,0.0689112,0.0519105,0.0233683,0.0282988,0.0113117,0.0676846,0.0306734,0.0117616,0.0602847,0.00690595,0.0338107,0.0159955,0.0831579,0.0716331,0.32861
Basilica Santa Maria Alicante (Zeisterre),0.103637,0.0864306,0.0524065,0.0264417,0.0257242,0.00752836,0.085027,0.0255142,0.00977677,0.0765902,0.0037443,0.027635,0.0168417,0.0915314,0.0846274,0.276544
Basilica di Santa Croce Lecce (Tango7174),0.130927,0.0838364,0.0488105,0.0225135,0.0266876,0.0097445,0.0705106,0.0287933,0.0164434,0.0510538,0.00839654,0.0277194,0.0167906,0.0661567,0.0927624,0.298854
Basilica of Our Lady of the Pillar Zaragoza (Willtron),0.112537,0.0790943,0.057867,0.0278823,0.0253174,0.00733596,0.0825408,0.0262949,0.0121581,0.0725066,0.00474679,0.0273235,0.0196388,0.0886212,0.0836364,0.272499
Basilica of Saint Mary Major Rome (JACurran),0.118248,0.084625,0.0597366,0.0225839,0.0252255,0.00945114,0.0814016,0.0256012,0.0112488,0.0644282,0.0058804,0.0296155,0.0173828,0.0907294,0.0888996,0.264942
Blue Domed Church in Santorini (Hhss8228),0.144796,0.0564353,0.041441,0.032193,0.0398439,0.0249052,0.0408237,0.0478724,0.0346998,0.0402439,0.0235134,0.0490871,0.0304807,0.0577251,0.0657019,0.270237
Bolivar Square Bogota Colombia (Martin St-Amant),0.160371,0.14597,0.0418506,0.0259868,0.0339395,0.00909772,0.0502092,0.0228276,0.0175084,0.0586512,0.00735937,0.0333306,0.0196527,0.0590207,0.0841383,0.230087
Booker T. Washington National Monument Virginia (MarmadukePercy),0.108052,0.0921841,0.0607393,0.0242888,0.0199368,0.00704288,0.0886007,0.0214394,0.0074768,0.0832039,0.00336276,0.0227456,0.0157637,0.0933987,0.0913416,0.260423
Boyana Church Sofia (Aleksander Dragnes),0.156697,0.107287,0.075019,0.0194063,0.0152458,0.00588677,0.0795561,0.0159117,0.00891395,0.0708713,0.00464639,0.0177419,0.0149629,0.0865345,0.100881,0.220439
Bran Castle in Transylvania (Simbotin),0.136921,0.0784342,0.0640279,0.0265477,0.0332857,0.00880704,0.0816265,0.0242244,0.0140207,0.0725289,0.00669407,0.0351021,0.0210717,0.0831272,0.0753924,0.238189
Bridge of Remembrance Christchurch New Zealand (Eli Duke),0.0937979,0.107481,0.0460943,0.0266002,0.0151365,0.00552006,0.0751478,0.0271472,0.00792062,0.0703727,0.00256211,0.0180459,0.0129167,0.0872119,0.0989246,0.305121
Buenos Aires Botanical Garden Palermo Argentina (Arcibel),0.159501,0.0909993,0.0650647,0.0264494,0.0256639,0.0101565,0.0730189,0.0250418,0.0189474,0.0678826,0.00955353,0.0276885,0.0233326,0.071951,0.0933944,0.211354
Buonconsiglio Castle Trento Italy (Matteo Ianeselli),0.158339,0.0915439,0.0521589,0.0270575,0.0349796,0.00981787,0.0710601,0.0238081,0.0175423,0.0696697,0.00806932,0.0371132,0.024937,0.0669437,0.0892396,0.217721
Buxton Memorial Fountain London (Patche99z),0.112619,0.084545,0.068201,0.0222224,0.0209314,0.00663034,0.0969009,0.0203242,0.00917061,0.0860506,0.00382065,0.0226942,0.0173764,0.100393,0.090515,0.237606
Calakmul Campeche Mexico (Pete Fordham),0.13936,0.0933919,0.042925,0.0269214,0.0227471,0.0108444,0.048671,0.0284344,0.0207354,0.0504543,0.0095389,0.025356,0.0207626,0.0545741,0.0606554,0.344628
Castello di Gradara (Enrico90p),0.11853,0.103116,0.0501477,0.025218,0.0165361,0.00834504,0.085526,0.0300411,0.0153683,0.0908046,0.00669267,0.0255375,0.0204906,0.0770666,0.102538,0.224042
Castillo San Felipe de Barajas Cartagena Colombia (Martin St-Amant),0.113404,0.0917836,0.0597612,0.0221542,0.0159176,0.00572206,0.0795545,0.022576,0.00827363,0.0686311,0.00324738,0.0174079,0.0131915,0.0948014,0.0867096,0.296864
Castle Estense Ferrara (Massimo Baraldi),0.118991,0.0737428,0.0417991,0.0243017,0.0258868,0.00816764,0.058467,0.025316,0.0157932,0.0475357,0.00622942,0.0263138,0.0186718,0.075911,0.0721742,0.360698
Cathedral Basilica of St. Augustine Florida (Wikiwopbop),0.0939291,0.0600923,0.0321481,0.0183956,0.0330498,0.00868299,0.0597677,0.0215698,0.0126179,0.051288,0.00573182,0.0293313,0.0161986,0.0954211,0.0627484,0.399027
Chateau Gaillard France (Tango7174),0.115456,0.0987062,0.0393689,0.0290169,0.0215673,0.0112908,0.0576022,0.0325563,0.0159785,0.0616319,0.00714998,0.0265777,0.0180279,0.0651273,0.0857348,0.314207
Chavin de Huantar Peru (Sharon odb),0.161393,0.137187,0.0438937,0.0291936,0.0193236,0.00747957,0.0548491,0.0260227,0.0183628,0.0575904,0.00632862,0.0210746,0.0216025,0.0562066,0.102547,0.236946
Chhatrapati Shivaji Terminus railway station Mumbai India (Joe Ravi),0.0851139,0.0723415,0.0451727,0.017659,0.0191417,0.00419777,0.0733292,0.020912,0.00611398,0.0592079,0.00230285,0.0185001,0.0106892,0.0826728,0.0687369,0.413909
Christ Church Cathedral Missouri (Matthew Black),0.109101,0.0775021,0.0555287,0.0215477,0.025834,0.00827044,0.0782155,0.0245075,0.0116641,0.0687773,0.00535241,0.0276226,0.0171782,0.0937357,0.0757706,0.299392
Connecticut State Capitol Hartford (jglazer75),0.121083,0.0959121,0.0460547,0.0260841,0.0246177,0.00884586,0.060894,0.0281177,0.0142964,0.058117,0.00648398,0.0263166,0.0163875,0.0787837,0.0769903,0.311015
Convent of Christ in Tomar (Alvesgaspar),0.106567,0.0787164,0.061939,0.0233992,0.016443,0.00770496,0.0837346,0.0262584,0.00832834,0.0751368,0.00377007,0.0210184,0.0145987,0.0968652,0.0835758,0.291945
Coronation Stone England (Edwardx),0.141971,0.0827906,0.0496098,0.0235078,0.0298028,0.00870068,0.0725769,0.0223992,0.0166574,0.0669818,0.00749155,0.0312885,0.0222085,0.068346,0.0827843,0.272883
Cristo Rey Mexico (Pedro Sanchez),0.0506318,0.0597256,0.0261097,0.0144559,0.0124988,0.00358991,0.0624873,0.0162717,0.00532828,0.0376134,0.00210202,0.0115474,0.00758637,0.0722939,0.0430474,0.574711
Cueva de las Manos Santa Cruz Argentina (Mariano),0.167787,0.0849236,0.0616338,0.0309266,0.0295669,0.00799413,0.076335,0.02472,0.0214589,0.0742665,0.0075705,0.0306356,0.029652,0.0681695,0.0877782,0.196581
Dazu Rock Carvings China (Gisling),0.146794,0.0817773,0.0755033,0.0255787,0.0233148,0.0104908,0.0798225,0.0247917,0.0172633,0.0733312,0.00888726,0.0261279,0.0216205,0.0873377,0.0852583,0.2121
Duke of York Column London (Lonpicman),0.0797448,0.0585633,0.035182,0.0134427,0.0153204,0.00448221,0.052883,0.0142834,0.00697669,0.0439304,0.00317801,0.0170725,0.0110818,0.057432,0.0569959,0.529431
Egg Castle Naples (currybet),0.112403,0.119582,0.0377072,0.0267818,0.0179421,0.00516235,0.0621768,0.0244536,0.00948569,0.0558089,0.00280975,0.018048,0.0131672,0.0712981,0.0832667,0.339906
Faisal Mosque Pakistan (Khalid Mahmood),0.102544,0.0706452,0.0544575,0.0246863,0.0212591,0.00919937,0.0783703,0.0293247,0.00919449,0.0680138,0.00464463,0.0287491,0.0164276,0.0890964,0.0776863,0.315701
Fisher Building of Detroit Michigan (Beyond My Ken),0.115752,0.0570055,0.0681639,0.021763,0.0555216,0.00817719,0.0922436,0.0197431,0.0112647,0.0934131,0.00637431,0.0507464,0.0145692,0.102153,0.0540421,0.229068
Fontaine de l'Observatoire Paris (Steve Cadman),0.102356,0.0887228,0.0576618,0.0235322,0.0141826,0.00652167,0.0792856,0.0244094,0.00652509,0.0676177,0.00314298,0.0186632,0.0130334,0.0912086,0.0925216,0.310616
Fontaine du Palmier Paris (MarkusMark),0.131964,0.0685049,0.0447331,0.0301681,0.0325568,0.0133569,0.0605746,0.0366822,0.0240403,0.0510363,0.0121927,0.035129,0.0253524,0.0718387,0.0774296,0.28444
