ANZAC War Memorial Sydney (Greg O'Beirne),0.387169,0.100409,0.0617519,0.196059,0.147713,4.23855e-006,0.00934841,0.00160274,1.82258e-005,0.0914951,0.00442957
Admiralty Arch London (Diliff),0.110829,0.247065,0.0629313,0.276552,0.00802382,0.000258358,0.0377955,0.0264193,0.00233415,0.227559,0.000232612
Allen County Courthouse Indiana Fort Wayne (Tysto),0.0677868,0.00348824,0.175436,0.309592,0.03113,0.00568879,0.0400741,0.00237354,0.0127578,0.348441,0.00323127
Angel Falls Venezuela (Paulo Capiotti),0.483788,0.213778,0.0857283,0.0511477,0.097257,0.014376,0.000574712,0.00308828,0.00338406,0.0441775,0.00270057
Armed Forces Memorial United Kingdom (Bs0u10e01),0.0166969,0.133468,0.219495,0.0329009,0.0715139,0.00366778,0.00273221,9.73863e-006,3.55328e-006,0.381475,0.138037
Baptistry of St. John  Pisa (NotFromUtrecht),0.0694108,0.452455,0.0193895,0.175064,0.0899712,0.000159275,0.0011688,0.000304931,0.000365522,0.19103,0.000680914
Basilica Santa Maria Alicante (Zeisterre),0.112482,0.337187,0.42114,0.080462,0.0122234,0,0.00533971,0.00215704,0.00114788,0.0238769,0.00398444
Basilica di Santa Croce Lecce (Tango7174),0.0447074,0.28707,0.297725,0.153077,0.0658827,7.16049e-005,0.0299074,0.0204864,0.00361605,0.0616951,0.0357617
Basilica of Our Lady of the Pillar Zaragoza (Willtron),0.217546,0.585362,0.0792519,0.0560086,0.04161,3.02237e-006,0.00785413,0.00285177,0.00012929,0.00752234,0.00186111
Basilica of Saint Mary Major Rome (JACurran),0.133087,0.397132,0.23461,0.0485652,0.0482286,0.00198332,0.0151453,0.00160821,0.00079759,0.0581678,0.0606747
Blue Domed Church in Santorini (Hhss8228),0.010936,0.743197,0.00995114,0.0713281,0.000581974,0.00328274,0.0763233,0.0159205,0.000251194,0.0584972,0.00973132
Bolivar Square Bogota Colombia (Martin St-Amant),0.154677,0.332638,0.0880037,0.217969,0.00439967,0.00619346,0.0158255,0.151136,0.00226151,0.00871197,0.0181846
Booker T. Washington National Monument Virginia (MarmadukePercy),0.074132,0.350988,0.0257623,0.167715,0.212891,0,0.000209417,0.000240083,0,0.167492,0.000569833
Boyana Church Sofia (Aleksander Dragnes),0.204533,0.0429068,0.301984,0.110826,0.238781,0.000898361,0.0323334,0.0027434,0.00341098,0.0573441,0.00423813
Bran Castle in Transylvania (Simbotin),0.21686,0.364248,0.0339636,0.0830074,0.224826,3.72844e-006,0.0060992,0.000241461,0.000117535,0.0703969,0.00023578
Bridge of Remembrance Christchurch New Zealand (Eli Duke),0.169537,0.408768,0.0841769,0.123442,0.0572712,6.07282e-005,0.00238824,0.00122905,0.00140776,0.151661,5.72552e-005
Buenos Aires Botanical Garden Palermo Argentina (Arcibel),0.179714,0.0810216,0.0235151,0.163635,0.47249,0.000724792,0.00662486,0.00408045,0.00270335,0.0580406,0.0074501
Buonconsiglio Castle Trento Italy (Matteo Ianeselli),0.171619,0.00114472,0.306351,0.137226,0.289571,0.00361474,0.00636909,0.00215605,0.00141135,0.0630586,0.0174778
Buxton Memorial Fountain London (Patche99z),0.0581599,0.340047,0.0872696,0.180541,0.309069,3.39908e-005,0.000181614,0.0036116,0.000601163,0.00495792,0.0155271
Calakmul Campeche Mexico (Pete Fordham),0.00494792,0.0132896,0.000460417,0.0647438,0.62174,0,2.29167e-005,8.33333e-006,0,0.294496,0.000291667
Castello di Gradara (Enrico90p),0.109629,0.271816,0.103111,0.195172,0.277889,8.40705e-007,0.0177184,0.000104584,2.18583e-006,0.0168607,0.00769682
Castillo San Felipe de Barajas Cartagena Colombia (Martin St-Amant),0.0900348,0.407153,0.109592,0.07654,0.248469,0.00406874,0.0219267,0.00472112,0.00295566,0.00680683,0.0277322
Castle Estense Ferrara (Massimo Baraldi),0.15046,0.138326,0.211951,0.109116,0.164387,9.77597e-005,0.0417108,0.0320896,0.000989817,0.150554,0.000317719
Cathedral Basilica of St. Augustine Florida (Wikiwopbop),0.224375,0.534089,0.0038151,0.160749,0.0192415,0,0.000354818,0.0221712,8.13802e-005,0.0350749,4.88281e-005
Chateau Gaillard France (Tango7174),0.0351667,0.359294,0.0573188,0.13441,0.387446,4.16667e-006,0.00116458,0.000475,7.70833e-005,0.00388125,0.0207625
Chavin de Huantar Peru (Sharon odb),0.17401,0.130062,0.0770638,0.115062,0.407637,0,0.000247396,1.30208e-005,0,0.0958398,6.51042e-005
Chhatrapati Shivaji Terminus railway station Mumbai India (Joe Ravi),0.0410526,0.490677,0.199961,0.0726307,0.0546651,0.0621463,0.0128696,0.000108525,0.00149777,0.0197297,0.0446615
Christ Church Cathedral Missouri (Matthew Black),0.186284,0.231803,0.248682,0.0613803,0.174495,0.00429356,0.00077261,0.000166779,0.00173561,0.00294174,0.087445
Connecticut State Capitol Hartford (jglazer75),0.261608,0.256758,0.00176493,0.118011,0.11071,0,0.00010554,0.00315094,3.05176e-005,0.243579,0.00428136
Convent of Christ in Tomar (Alvesgaspar),0.127803,0.454585,0.2105,0.0614062,0.0466256,0.00230273,0.0179182,0.00024068,0.00107669,0.0359906,0.0415509
Coronation Stone England (Edwardx),0.325848,0.0606688,0.0815708,0.322304,0.0596479,1.25e-005,0.00154375,0.00288542,0.000539583,0.1437,0.00127917
Cristo Rey Mexico (Pedro Sanchez),0.236328,0.407741,0.0143768,0.0667776,0.00318875,3.31868e-007,0.003548,0.00801859,0.00372654,0.255452,0.000841949
Cueva de las Manos Santa Cruz Argentina (Mariano),0.00486198,2.55208e-005,0.373153,0.0565047,2.65625e-005,0.0662604,0.288857,0.040587,0.159194,0.0105156,1.51042e-005
Dazu Rock Carvings China (Gisling),0.221202,0.0180978,0.0919807,0.0537091,0.546593,0.000189308,2.72779e-007,7.36503e-005,0.000270051,0.0612787,0.00660534
Duke of York Column London (Lonpicman),0.021497,0.304921,0.00173005,0.208144,0.195546,0,0.000342893,0.000292238,0.000225998,0.267285,1.5586e-005
Egg Castle Naples (currybet),0.136053,0.428915,0.0834118,0.123742,0.00640278,1.59722e-005,0.000857639,0.00117917,0.000256944,0.217305,0.00186042
