Abbey of Saint Gall (Pjetter),0.599505,0.0750231,0.00376576,0.065548,0.0750404,0.000579004,-5.67021,8.04696,-5.26112,0.580779,0.0934859,0.00361003,0.10905,0.0888946,0.000799884,-3.4909,5.31167,-3.09142,0.571529,0.107334,0.00362334,0.102013,0.064337,0.000623223,-4.24172,6.37074,-3.96138,0.437005,0.1564,0.00302345,0.281975,0.173628,0.00111578,-0.443802,1.79058,-0.848035,0.233257,0.250317,0.00216539,0.277483,0.160609,0.00104739,1.22848,0.880756,0.540398,0.447584,0.147001,0.00309365,0.270596,0.145588,0.000988164,-0.587188,1.77467,-0.993154,0.20061,0.34997,0.00176501,0.226317,0.205085,0.000897074,2.17199,0.70832,-0.0192641,0.217976,0.386818,0.00158017,0.266844,0.196017,0.000950083,1.81336,0.657041,0.423308,0.196306,0.314261,0.00223484,0.272567,0.19077,0.000974432,2.10981,0.511158,0.149213
Basilica of Saint Peter Vatican (Wolfgang Stuck),0.573108,0.142307,0.00294611,0.0250698,0.031904,9.14173e-005,-0.0813338,-0.114338,-0.198789,0.555388,0.204357,0.00290742,0.100422,0.0839723,0.000322276,-3.34645,1.33862,-3.71274,0.578814,0.291441,0.00298495,0.0121028,0.068807,0.000132918,-0.0348741,0.17935,0.524265,0.501367,0.209768,0.00251588,0.178378,0.13008,0.000658817,-1.27854,2.86312,-1.76124,0.34021,0.221054,0.00209406,0.282386,0.181153,0.000932093,0.572099,1.97483,-0.0433974,0.501439,0.262637,0.00246316,0.189567,0.123995,0.000697982,-1.23366,3.20103,-1.76434,0.259207,0.394613,0.00154785,0.303408,0.271725,0.000910218,1.33801,0.788463,0.481382,0.175382,0.407321,0.00173725,0.240414,0.259355,0.000872768,2.37199,0.858988,0.271256,0.207451,0.414217,0.00167515,0.282159,0.253461,0.000890108,1.85817,0.732949,0.440315
Basilica of St Mary of Health Venice (Radomil),0.577543,0.683067,0.00286234,0.00171712,0.0344285,0.000208815,0.151565,0.432497,-0.249417,0.564296,0.587176,0.00283257,0.0713048,0.168208,0.00048102,-4.93498,-2.25412,-2.37128,0.574161,0.6108,0.00318033,0.0488901,0.0719932,0.000178053,-8.47182,-6.43229,-0.34531,0.551656,0.48621,0.0031244,0.100234,0.169632,0.000782147,-3.52915,-1.43045,-1.69959,0.493878,0.223846,0.00181952,0.113555,0.161372,0.000822826,-1.84012,1.16538,0.622498,0.442301,0.224975,0.00279216,0.172204,0.21738,0.000925889,-0.582715,0.629547,-0.417019,0.443211,0.252905,0.001839,0.155884,0.108357,0.000673256,-0.846957,0.872601,0.662784,0.422077,0.205071,0.00163076,0.151658,0.124451,0.000716467,-0.36828,1.37384,0.217191,0.362442,0.196929,0.00170513,0.193502,0.1464,0.000948401,0.0903393,1.37234,0.554332
Campo Santo Pisa (Georges Jansoone),0.552518,0.553113,0.00285184,0.113755,0.124028,0.00029079,-3.35408,-2.70754,-3.22843,0.578693,0.557193,0.00292026,0.00310146,0.040802,5.21972e-005,0.0377902,-0.024901,-0.382412,0.556667,0.495215,0.00294184,0.0951521,0.0959036,0.000349176,-4.26023,-2.94871,-4.35634,0.254481,0.146012,0.00279196,0.215364,0.151411,0.000998552,1.31956,1.80711,-0.784446,0.318891,0.168376,0.00298828,0.223663,0.171062,0.000757532,0.516432,1.13092,-1.40368,0.312967,0.185469,0.00272079,0.241924,0.147851,0.000972038,0.575473,1.09263,-0.856623,0.231129,0.223093,0.00174997,0.126546,0.13696,0.00131216,2.3009,0.364723,0.514563,0.298549,0.217246,0.00149261,0.182055,0.120011,0.00128713,1.1113,0.508106,0.793332,0.424981,0.287966,0.00108719,0.204434,0.146105,0.00108089,-0.00270687,0.921601,1.43985
Canadian National Vimy Memorial France (HTO3),0.29498,0.262399,0.00278249,0.235789,0.235401,0.000795172,0.526567,0.959116,-0.0293214,0.507638,0.52172,0.001936,0.186669,0.239029,0.000479955,-1.48257,-1.15741,1.09171,0.157652,0.116714,0.00276854,0.0595713,0.0934912,0.000723738,2.55788,2.53187,-0.19077,0.251941,0.170869,0.00242827,0.191798,0.125249,0.000612223,0.871326,1.701,0.21965,0.307173,0.297174,0.00177283,0.21589,0.174735,0.000785662,0.437355,0.448392,0.25494,0.180939,0.290037,0.00241377,0.13115,0.207256,0.00127116,2.18754,0.814997,-0.517456,0.112706,0.663654,0.0011621,0.0682075,0.208757,0.000666635,5.84799,-0.920743,-0.200879,0.0949438,0.528034,0.000850903,0.0537157,0.2228,0.00036805,3.06229,-0.459879,0.587945,0.114855,0.488348,0.00058525,0.0488734,0.159468,0.000581686,3.44579,0.524103,3.11635
Casas Grandes Chihuahua Mexico (Aromgom),0.576054,0.772472,0.0038879,0.0195887,0.117541,7.68035e-005,-0.354523,-0.834205,-3.30633,0.570335,0.64731,0.00390167,0.0187834,0.193269,4.52921e-005,-0.555411,-0.815816,-4.55691,0.584809,0.80642,0.0038062,0.0165617,0.142139,0.000199404,-0.541631,-1.99026,-1.96684,0.20058,0.245719,0.00325847,0.195483,0.143004,0.000467419,1.13729,0.834133,-0.189884,0.184125,0.241445,0.00307463,0.187559,0.144342,0.000670788,1.46566,0.946982,-1.72731,0.278148,0.288026,0.00300183,0.231547,0.171619,0.000796982,0.414464,0.5879,-0.793665,0.0680563,0.133024,0.00291046,0.0718226,0.0292853,0.000202062,11.2322,0.378272,-0.376566,0.059735,0.131204,0.00288843,0.0296903,0.0369278,0.000215746,14.4112,1.14269,-0.513555,0.0542106,0.123734,0.00252687,0.0395644,0.0318962,0.000247591,17.7848,1.39011,-0.323337
El Infiernito Boyaca Colombia (Andrew Bertram),0.486472,0.198719,0.00273605,0.159851,0.113729,0.001015,-0.997002,1.92992,-0.669344,0.473544,0.175023,0.00274177,0.167236,0.117998,0.000979036,-0.743994,1.71438,-0.484748,0.489331,0.224533,0.00255214,0.133349,0.140923,0.000985274,-0.738442,0.89098,-0.31495,0.267852,0.306788,0.00183395,0.232553,0.180709,0.000732669,1.76662,0.823738,-0.429003,0.307855,0.284625,0.00173312,0.292071,0.163223,0.000711904,1.22425,1.04631,-0.176482,0.253978,0.294865,0.00181675,0.247586,0.163445,0.000835608,1.72357,1.47764,-0.141917,0.194647,0.350108,0.00210446,0.182194,0.185078,0.000728012,3.16588,0.966085,-0.628236,0.163794,0.285085,0.00229853,0.154929,0.158482,0.000684293,4.27745,1.61243,-0.588901,0.120771,0.239123,0.0026239,0.0314633,0.0730532,0.0004765,6.13355,1.1533,-0.172317
Fort Stanwix New York (National Park Service),0.274252,0.560339,0.00169105,0.144133,0.163047,0.00044282,3.39175,-1.68035,-0.643696,0.280699,0.41805,0.00185814,0.169254,0.212292,0.000795857,2.27345,-0.155467,0.231699,0.236933,0.525912,0.00186664,0.0738327,0.18806,0.000489169,6.15031,-1.3437,0.653106,0.282133,0.455729,0.00167136,0.166281,0.223649,0.000724477,2.3603,-0.531876,0.820637,0.345593,0.269858,0.00206133,0.234953,0.198663,0.000989896,1.14955,0.864762,-0.102062,0.258949,0.517051,0.00166432,0.112915,0.220885,0.000720319,3.34708,-0.699301,0.663618,0.240052,0.610937,0.00153106,0.0655908,0.0964421,0.000300918,6.63541,-1.35585,-0.213641,0.311698,0.559584,0.00146994,0.171026,0.198685,0.000671724,1.67676,-0.897024,0.179593,0.263389,0.636519,0.00156362,0.146895,0.126166,0.000495839,2.91915,-1.75456,-1.47272
George Washington Birthplace Virginia (JGHowes),0.455475,0.512358,0.000833093,0.214404,0.309108,0.00101805,-0.351378,0.225356,1.80542,0.450211,0.206322,0.00290975,0.194399,0.167876,0.00125421,0.0965847,2.29997,-0.747199,0.526672,0.145142,0.00361919,0.11989,0.0761217,0.000816673,-0.0885729,5.0435,-2.49951,0.314702,0.450871,0.000481037,0.319259,0.360931,0.000732371,0.581676,0.214781,2.67109,0.457467,0.365952,0.00178488,0.363431,0.265713,0.00134116,0.10228,0.900216,0.40828,0.486901,0.39709,0.00127021,0.235669,0.282675,0.00126938,-0.297654,0.791323,1.09423,0.284476,0.411164,0.000666803,0.300872,0.292747,0.000826261,0.795882,0.390443,1.86481,0.309028,0.439149,0.000869467,0.282758,0.274659,0.000879699,0.726528,0.503849,1.37785,0.365072,0.458944,0.000512911,0.244528,0.308044,0.000544458,0.158038,0.29463,1.73833
Hosios Loukas Monastery Greece (BishkekRocks),0.565873,0.466221,0.00332989,0.0933446,0.10045,0.000791966,-3.22219,-2.59705,-2.47822,0.52314,0.435011,0.00328309,0.238824,0.088467,0.0009729,-0.921858,-1.65718,-1.529,0.567906,0.455666,0.00356227,0.127064,0.0507619,0.000556869,-2.63452,-3.47035,-3.63042,0.308641,0.17828,0.00201873,0.315698,0.153404,0.000709299,0.922874,1.37114,-0.0129269,0.194539,0.311734,0.00180186,0.299212,0.184298,0.000662698,1.78247,-0.0678593,0.632401,0.329339,0.300767,0.00205291,0.320331,0.164897,0.000779066,0.621711,0.051789,0.151289,0.335583,0.261401,0.00192411,0.291694,0.227906,0.00101935,0.729515,1.28821,-0.0315721,0.281086,0.238165,0.00179869,0.284353,0.209082,0.000953492,1.00605,0.745541,0.573026,0.330194,0.268342,0.00168172,0.245298,0.263431,0.000956495,0.78957,0.915787,-0.0181005
