Abbey of Saint Gall (Pjetter),0.000827951,0.000866964,0.000667563,0.000325112,0.000229746,0.000255754,0.000294768,0.000654558,0.00159521,0.00167758,0.000671897,0.00047683,0.000277429,0.000229746,0.000112705,0.000190732,0.000788938,0.000307772,0.000182063,0.00169492,0.00129611,0.00086263,0.000203737,0.000325112,0.00154753,0.00178161,0.00136113,0.00049417,0.000121375,0.000177728,6.06875e-005,1.30045e-005,4.33482e-006,4.33482e-005,1.73393e-005,0,0.000221076,4.7683e-005,1.30045e-005,0.000654558,0.000346786,8.66964e-006,8.66964e-006,0,0.00049417,0.000407473,9.97009e-005,6.06875e-005,0.000164723,0.000645888,0.000528848,0.000130045,0,0,0,0,0,0,0,0,2.60089e-005,3.46786e-005,4.33482e-006,0
Basilica of Saint Peter Vatican (Wolfgang Stuck),0.000282813,0.000328125,0.000368229,0.000320313,0.000261979,0.000264062,0.000178646,0.000123958,0.000435417,0.00045,0.000377083,0.000275521,0.000297917,0.000355729,0.000414583,0.000230208,0.000334375,0.000352604,0.000492708,0.000170313,0.000400521,0.000434896,0.000299479,0.000116146,0.000453646,0.000457812,0.000401042,0.000316667,0.000313542,0.000348438,0.000323437,0.000266146,0.000133854,0.000154688,0.0003375,0.000113542,0.000208854,0.000246875,0.000665104,0.000124479,0.000230729,0.000254167,0.000201042,2.65625e-005,0.000389062,0.000417708,0.000216667,3.64583e-005,0.000336458,0.000341146,0.000285938,0.000110938,2.08333e-006,3.125e-006,4.6875e-006,2.60417e-006,3.33333e-005,6.51042e-005,0.000228125,1.19792e-005,8.07292e-005,2.91667e-005,5.20833e-006,0
Basilica of St Mary of Health Venice (Radomil),0.000177409,0.000275065,0.000328776,0.000314941,0.000259603,0.000209147,0.000170085,0.000171712,0.000202637,0.00027832,0.000225423,0.000182292,0.000309245,0.000446777,0.000341797,0.00020752,0.000309245,0.000401204,0.000305176,0.000146484,8.6263e-005,0.000103353,8.38216e-005,6.02214e-005,6.67318e-005,0.000105794,0.000108236,8.6263e-005,2.84831e-005,6.83594e-005,7.32422e-005,5.37109e-005,0.00010498,0.00022054,0.000160319,7.16146e-005,0.000234375,0.000375163,0.000275879,8.95182e-005,9.76563e-006,2.11589e-005,1.05794e-005,8.13802e-007,2.44141e-005,3.49935e-005,2.60417e-005,8.95182e-006,8.95182e-006,2.52279e-005,2.44141e-005,2.36003e-005,2.44141e-006,1.6276e-006,1.6276e-006,1.6276e-006,1.46484e-005,0.000199382,0.000385742,3.25521e-005,0,0,0,0
Campo Santo Pisa (Georges Jansoone),0.000203451,0.000301921,0.000324707,0.000286458,0.00023763,0.000215658,0.000290527,0.000314941,0.000339355,0.000315755,0.000297852,0.000375163,0.000198568,0.000210775,0.000163574,0.000181478,0.000186361,0.000321452,0.000196126,0.00015625,0.000166829,0.000212402,0.000170898,0.000140788,0.00017334,0.000255534,0.000286458,0.000357259,0.000118001,0.000183919,0.000174967,0.000242513,6.51042e-006,2.52279e-005,2.03451e-005,1.13932e-005,0.000100098,0.000177409,9.60286e-005,5.94076e-005,2.76693e-005,6.83594e-005,5.20833e-005,2.84831e-005,2.44141e-005,4.80143e-005,3.74349e-005,2.27865e-005,2.60417e-005,6.83594e-005,0.000109049,0.000102539,0,0,0,0,1.05794e-005,0.000119629,0.00037679,8.13802e-006,8.13802e-007,1.6276e-006,1.6276e-006,1.6276e-006
Canadian National Vimy Memorial France (HTO3),0.000586304,0.000236867,0.000103189,0.000515947,0.000663696,0.000342402,0.000131332,3.51782e-005,0.001053,0.000663696,0.00105066,0.000403377,0.000147749,0.000302533,0.000459662,0.000114916,4.22139e-005,0.000401032,0.000462008,7.50469e-005,7.03565e-005,1.17261e-005,1.64165e-005,9.38086e-006,0.00107411,0.000738743,0.000992026,0.00102486,0.000140713,4.45591e-005,0.000100844,0.000143058,0,1.40713e-005,3.2833e-005,2.34522e-006,1.87617e-005,0.000422139,0.000356473,4.92495e-005,0,7.03565e-006,7.03565e-006,0,4.69043e-006,4.69043e-006,0,0,0.000534709,0.000609756,0.000304878,0.000354128,0,0,0,0,2.57974e-005,0.000668386,3.98687e-005,0,0,0,0,0
Casas Grandes Chihuahua Mexico (Aromgom),7.44409e-005,5.95528e-005,2.48136e-005,3.47391e-005,4.96273e-005,0.000133994,9.92546e-005,1.48882e-005,0.00010918,0.000481385,0.00165259,0.00104714,3.97018e-005,9.92546e-006,6.94782e-005,7.44409e-005,7.44409e-005,6.45155e-005,0.000153845,0.000119106,3.97018e-005,9.92546e-006,0.000153845,6.45155e-005,0.000193546,0.0010124,0.00217864,0.00174192,0,4.96273e-006,0.00010918,4.46646e-005,9.92546e-006,0,0,4.46646e-005,4.96273e-005,6.45155e-005,0.000158807,0.000258062,0,0,4.96273e-006,4.96273e-006,0,0,2.97764e-005,1.48882e-005,0,0,1.48882e-005,0,0,0,0,8.93291e-005,9.92546e-006,0.000168733,0.00154837,0.000704708,0,0,0,0
El Infiernito Boyaca Colombia (Andrew Bertram),0.000836617,0.00110637,0.00102427,0.000860074,0.000641146,0.000289298,4.69131e-005,0.00013292,0.00151686,0.00187652,0.00152468,0.000371396,0.000867893,0.000996904,0.00068415,0.000101645,0.000844436,0.000699787,0.000328392,0.000418309,0.000895259,0.000770157,0.000390943,1.95471e-005,0.0013292,0.00241212,0.00222446,0.00148949,0.00120019,0.00217755,0.00192344,0.000218928,0.000379214,0.000602052,0.000363577,1.56377e-005,0.000109464,0.000293207,0.000578595,0.000742791,0.000160286,2.7366e-005,0,0,0.000250203,0.000230656,7.81885e-005,0,0.000242384,0.00109073,0.000629418,3.12754e-005,8.2098e-005,0.00013683,2.34566e-005,0,0,0.000160286,0.000379214,0.000152468,0,0,0,0
Fort Stanwix New York (National Park Service),0.0028166,0.00219545,0.00148862,0.00141365,0.00129585,0.00128514,0.00132798,0.000974565,0.00334137,0.00278447,0.00272021,0.00207764,0.00167068,0.00154217,0.00263454,0.00233467,0.00290228,0.00161714,0.00104953,0.000963855,0.00251673,0.00108166,0.000460509,0.000203481,0.00221687,0.00176707,0.00121017,0.000535475,0.00745382,0.00961714,0.00559036,0.00289157,3.21285e-005,0.000267738,0.00065328,0.000289157,0.000899598,0.000910308,0.000385542,8.5676e-005,0.00170281,0.000342704,2.1419e-005,2.1419e-005,0.000321285,0.000192771,1.07095e-005,0,0.00733601,0.0121339,0.00103882,1.07095e-005,0.0021419,0.00458367,0.000171352,0,0,0,0,0,0,0,0,0
George Washington Birthplace Virginia (JGHowes),0.000692884,0.000637664,0.000377413,0.000222318,0.000160857,0.000126765,0.00011236,0.000210794,0.000644867,0.000526745,0.000274657,0.000230481,0.000591088,0.00039902,0.000245366,0.000220878,0.000671276,0.000354365,0.000242485,0.000217036,0.000577163,0.000301066,0.000164218,0.000150773,0.000512821,0.000459042,0.000365409,0.000225679,0.000473927,0.000406703,0.000317872,0.000245847,0.000329876,0.000270335,0.000182464,0.000189187,0.000359647,0.000253529,0.000220878,0.000323634,0.000301066,0.000184385,0.000124844,9.07519e-005,0.000307308,0.00025641,0.000172861,0.00011428,0.000291463,0.000344761,0.000309709,0.000195909,4.89772e-005,7.58667e-005,6.00211e-005,2.5449e-005,7.63469e-005,9.41131e-005,9.69941e-005,7.92279e-005,7.3946e-005,8.45097e-005,7.1065e-005,3.79334e-005
Hosios Loukas Monastery Greece (BishkekRocks),6.12863e-005,0.000102479,0.000126843,0.00013061,0.000118554,0.000108758,9.79577e-005,6.20399e-005,0.000142164,0.000154221,0.000135634,0.00010926,4.01878e-005,8.81619e-005,9.31854e-005,7.00774e-005,7.68591e-005,0.000128852,0.000114786,9.14271e-005,0.00012634,0.000145429,0.000119559,7.2338e-005,0.000147188,0.000152713,0.000131866,0.000102479,4.97323e-005,9.77065e-005,9.04225e-005,7.13333e-005,1.68286e-005,2.08474e-005,2.28568e-005,6.53051e-006,3.11455e-005,7.71103e-005,9.16783e-005,6.12863e-005,5.82722e-005,9.94647e-005,9.24318e-005,4.64671e-005,0.000101474,0.0001178,8.28872e-005,2.73779e-005,7.43474e-005,0.000119056,9.46924e-005,3.89319e-005,1.25587e-005,1.28098e-005,4.7723e-006,5.02347e-007,1.1554e-005,3.06432e-005,9.6953e-005,5.37511e-005,1.00469e-006,6.53051e-006,3.26526e-006,5.02347e-007
