Abbey of Saint Gall (Pjetter),0.141441,18.218,10155.2,7069.93,12.6055,0.519684,380.386,0.076721,10.0219,8.84654,21268.5,0.139855,18.7062,16060.9,8956.52,16.4751,0.576616,203.024,0.0835568,4.91218,10.0914,11680.9,0.142158,18.3828,9956.16,6469.67,7.9803,0.526216,718.652,0.0762076,16.2655,9.37258,41117.9,0.139036,18.7242,16057.3,8922.4,16.3891,0.578024,195.982,0.0823798,4.84984,10.1874,11104.3
Basilica of Saint Peter Vatican (Wolfgang Stuck),0.12716,20.7469,91350.2,55453,26.7869,0.526083,1061.69,0.0666277,40.3854,10.9555,33839.2,0.130933,20.2478,151038,73879.3,47.2272,0.596531,437.945,0.0772097,16.6842,12.2148,13814.2,0.132646,19.8821,91482,56558.1,35.8757,0.525216,724.11,0.06835,29.6544,10.4941,22473.8,0.13192,20.3809,156587,74090.8,47.8405,0.604276,409.734,0.0791464,15.6069,12.5305,12990.6
Basilica of St Mary of Health Venice (Radomil),0.0903129,22.3072,36567.9,27571,20.1482,0.497428,1727.96,0.0405591,104.987,12.1464,32586,0.0912725,21.8623,58351.1,38256,27.1319,0.545472,678.965,0.044932,37.6888,13.0301,13878.2,0.0918171,21.2846,34363.9,29434.9,15.1471,0.477414,1041.38,0.0398048,58.1493,11.0409,21923,0.0924803,21.3009,54281.7,38169.1,26.5228,0.530502,537.362,0.0448431,30.5065,12.1938,11001.2
Campo Santo Pisa (Georges Jansoone),0.118708,28.0016,39424,20920.3,14.9269,0.521689,2114.9,0.0536045,196.585,15.0512,38511.3,0.126533,27.288,60254.7,27811.4,26.9495,0.557232,559.154,0.0655052,41.1652,15.4958,11985,0.126558,27.1879,36742.5,20937.5,20.2665,0.497719,832.775,0.0576921,61.5996,13.7961,18462.9,0.13105,27.2529,51399.2,25427.7,24.9711,0.533054,512.738,0.0652436,39.9394,15.0501,10858.7
Canadian National Vimy Memorial France (HTO3),0.168696,18.6934,6758.92,6703.81,6.52297,0.404195,798.119,0.062998,183.029,7.5791,10297.6,0.183806,17.9069,11301.3,9621.31,14.0439,0.443579,251.821,0.0769994,47.1473,7.64114,3935.64,0.199078,16.4521,7051.16,8089.86,11.2549,0.37917,393.674,0.0712543,64.9263,5.78876,6995.2,0.184942,17.5943,11252.3,9732.56,13.9055,0.444691,274.113,0.075791,47.0473,7.60469,4460.6
Casas Grandes Chihuahua Mexico (Aromgom),0.0393531,32.004,6351.68,10185.2,7.62331,0.445066,582.97,0.0178856,22.3193,13.9947,17636.2,0.0390041,32.1479,10225.6,13584.5,13.8451,0.497153,84.1311,0.0199626,3.49879,15.725,2472.59,0.0388064,32.2337,7303.18,11904.9,12.1565,0.433763,105.975,0.0175546,4.50161,13.7359,3073.79,0.0394808,32.2308,9303.53,13112.7,13.4142,0.478361,91.5475,0.019488,3.8245,15.1697,2643.72
El Infiernito Boyaca Colombia (Andrew Bertram),0.0955438,21.2267,25129.2,16956.3,18.8074,0.537399,47.7406,0.0548823,1.906,11.2317,1845.83,0.0911456,21.9808,38792.8,20960.4,31.1818,0.614008,14.917,0.0589611,0.832194,13.3044,500.679,0.0858308,22.5449,27920.3,18276.1,26.7397,0.553856,21.0752,0.048927,1.41925,12.4082,664.1,0.0906034,22.009,40465.3,21310.8,31.6784,0.623452,14.6877,0.0591814,0.83594,13.5201,493.157
Fort Stanwix New York (National Park Service),0.127597,17.756,5565.04,4691.95,7.91,0.486527,58.5346,0.0588045,6.58116,9.5522,798.12,0.12179,17.0449,9905.7,6826.98,15.8353,0.577223,31.4628,0.0674503,3.60096,10.509,448.817,0.118374,17.8014,8401.16,5981.1,14.5919,0.550184,37.6802,0.0601464,4.70381,10.6595,508.521,0.126853,17.6934,10004.7,6384.1,15.9026,0.578933,29.8373,0.0726507,3.90206,11.1576,391.478
George Washington Birthplace Virginia (JGHowes),0.250039,15.1475,100738,69063.1,28.8218,0.504225,621.79,0.0982717,128.485,8.78937,31253.6,0.255517,14.6928,140621,86848.5,53.4701,0.542784,214.328,0.110568,71.3571,9.08844,8879.98,0.240412,14.9954,83230.2,66342.5,41.4846,0.462457,420.42,0.0835691,139.099,8.03206,17569.5,0.253925,14.8289,142440,87264.6,54.1061,0.542761,221.002,0.108653,66.0977,9.2164,9670.96
Hosios Loukas Monastery Greece (BishkekRocks),0.0953841,20.2054,73994.5,94630.7,27.4154,0.356362,2575.65,0.0318284,91.4328,7.37524,89184.9,0.0906929,20.9256,193428,147723,57.7323,0.498054,561.27,0.040895,21.8834,10.8796,18968.2,0.0876722,21.2659,135294,121378,47.2244,0.452389,811.858,0.0358528,37.628,10.0019,26704.9,0.0921418,20.726,181349,142507,55.7156,0.490599,628.544,0.0411683,24.0198,10.5398,21413.1
Kaiser Wilhelm Denkmal (Dschazz),0.125871,14.7794,42983.5,46058.4,16.5202,0.447528,1612.41,0.0531772,67.0922,6.92682,52740.5,0.126921,14.7086,77648.5,63361.2,34.7457,0.528749,651.184,0.063163,23.7534,8.08681,22296.6,0.123505,15.012,54497,52481.3,28.8879,0.479556,1009.86,0.0547206,37.2029,7.60782,34551.2,0.125145,14.9148,79982.8,63604.1,35.1836,0.534068,576.904,0.0624766,21.7881,8.28323,19578.6
Leaning Tower of Pisa  (NotFromUtrecht),0.10311,22.0019,172957,233134,48.176,0.344767,5376.82,0.0324538,186.093,7.52279,204546,0.101957,22.1589,338043,326714,67.7711,0.426428,2227.93,0.0399921,75.5042,9.37573,85725.9,0.0989839,22.0281,176933,237288,30.2454,0.347228,4351.04,0.0310783,161.111,7.6884,164569,0.101263,22.093,310135,320691,65.8894,0.411884,2168.4,0.038847,73.8289,8.96283,84173.3
Liberty Hall Georgia (Ezratrumpet),0.0690648,25.2538,139706,100996,41.6415,0.514744,177.15,0.0336807,8.60234,13.2645,5412.99,0.0708784,24.9744,230575,127787,72.3656,0.592018,61.6879,0.0397237,3.08288,15.0514,1908.62,0.0692372,24.9432,156903,108983,60.2164,0.524339,90.2472,0.0343435,5.15229,13.1973,2701.15,0.070319,25.0224,236265,129052,72.9201,0.597687,57.2371,0.0398161,3.0352,15.2363,1734.09
Louvre piramid Paris (Alvesgaspar),0.147127,15.1075,393068,523913,41.0499,0.3739,4766.29,0.0544866,108.674,5.81984,232657,0.145359,15.0093,782649,766228,161.057,0.461067,831.038,0.0673287,21.2618,6.97681,39883.2,0.1436,14.9818,484705,591860,123.582,0.401234,1357.74,0.0570388,37.9107,6.0702,63940.4,0.143563,15.0614,736848,752579,157.468,0.449327,980.967,0.0642563,24.5269,6.84754,47358.3
Monastery of Batalha (pereiraalexandre20),0.0645041,23.024,52221.6,38405.8,21.7208,0.555571,437.277,0.0368473,14.8024,12.6581,14379.3,0.065994,22.6129,73666.7,47691.8,36.056,0.595475,110.193,0.0414605,3.64298,13.071,3902.56,0.0672831,22.1796,50215.4,38456,28.9914,0.543389,179.789,0.03926,6.17449,11.588,6399.3,0.0654789,22.6893,70561.8,47243.9,35.5739,0.585654,126.24,0.0402699,4.13213,12.9209,4442.71
National Museum of Art of Romania (Laurap),0.0955266,20.6619,12724,18383.2,11.0035,0.36122,1581.84,0.0360909,46.8646,7.35438,72524.8,0.093246,20.563,24577.9,27773.9,21.2078,0.43015,366.043,0.0402395,10.7967,8.55804,16557.7,0.0947682,20.1903,14833.2,21394.7,16.0355,0.369395,632.693,0.0333708,18.557,7.51376,28589,0.0957774,20.3978,21256.8,25427.8,19.7333,0.411971,544.736,0.0400737,14.539,8.24448,25846.2
Philopappos Monument (Templar52),0.109697,16.1304,21328.9,33261.6,16.5181,0.410389,1179.83,0.0485076,59.8019,6.7551,37228.8,0.114787,15.295,32788.6,45008.1,21.9534,0.447892,401.073,0.0566331,16.3409,6.80566,15039,0.120493,14.1072,19950.8,34450.1,12.2398,0.394098,849.043,0.0531096,32.8735,5.32379,33510.8,0.114653,15.3589,32705.8,45174.7,22.1253,0.444264,374.761,0.056083,15.67,6.771,13901.1
Quinta Vergara Vina del Mar Chile (Dario Alpern),0.136594,16.9964,148735,186784,28.7045,0.384515,8450.02,0.0532752,387.153,6.43626,419799,0.126232,17.291,342350,294136,59.6317,0.482429,1667.89,0.0589923,88.6656,8.40466,88020.1,0.109451,17.7803,204990,223527,43.3593,0.428782,3018.19,0.0430175,254.956,7.77959,145456,0.125606,17.2735,348660,297573,60.121,0.485183,1627.16,0.0587444,86.8352,8.45308,85746.9
Royal Palace of Caserta (Tango7174),0.0653441,27.8233,18096.3,13223.3,9.2636,0.499135,1307.39,0.0317549,91.7179,14.2208,23610.3,0.0627644,27.8634,32775.1,19868.8,23.4285,0.558013,207.085,0.0343242,13.6797,15.9455,4022.83,0.0637545,27.4005,23742.5,16405.7,19.5052,0.518701,268.861,0.032023,17.5015,14.7078,5382.44,0.0630769,27.8615,33697.5,20135.5,23.8085,0.561639,195.108,0.0346283,12.889,16.0649,3784.4
Tottenham High Cross (Fin Fahey),0.1481,23.0509,23094.3,9648.01,18.394,0.60508,272.234,0.0965999,12.9562,13.7944,11509.5,0.147667,22.9284,33790.4,12305.3,23.231,0.653768,152.077,0.101651,5.92833,15.1662,6766,0.134614,22.9945,18603.4,9329.25,12.1473,0.563504,351.891,0.0773748,15.3693,13.0323,15615.8,0.14579,23.0427,32985.5,12176.1,22.9323,0.649927,159.995,0.0987914,6.27874,15.175,7113.01
Trento Cathedral (Markus Bernet),0.105804,16.9763,19972.4,21702.6,12.2225,0.458685,1855.7,0.0523091,38.9331,7.66614,112492,0.102979,17.0764,35706.2,31197.4,22.2795,0.522215,514.924,0.0570722,11.3251,8.73015,30966.6,0.104334,16.9411,21788.8,23403.7,16.7321,0.461415,975.651,0.0520461,22.4418,7.72661,58300.2,0.104452,16.926,33452.1,30131.5,21.5493,0.513144,567.262,0.0575263,12.309,8.45455,34228.6
Tuskegee University (US Library of Congress),0.120504,20.8635,16912.2,23214.8,6.52257,0.311639,5167.71,0.0344952,135.36,6.55712,267520,0.110688,21.7769,46295.6,40396.3,49.3126,0.417209,487.984,0.0413375,18.2683,9.22221,24766.3,0.106715,21.7905,30787.9,33429.7,40.1495,0.364651,685.024,0.0333783,28.2926,8.14511,34149,0.110928,21.6681,47437.6,41017.1,49.9242,0.420767,495.807,0.0418814,18.1716,9.28355,25274.2
Villa della Regina Turin (Marco Plassio),0.160445,17.0958,69638.3,117011,25.1725,0.267419,8940.25,0.0354474,223.916,4.83425,480763,0.156045,17.0652,154149,178490,50.4773,0.370478,1092.42,0.0477844,43.4469,6.64456,52588,0.154379,17.0132,93752.9,142095,39.6155,0.299592,1593.94,0.0372088,69.2223,5.36079,74497.5,0.156237,17.0885,160371,181801,51.3458,0.37621,1097.16,0.04854,43.1834,6.77349,52858.3
Wupatki National Monument Arizona (Stephen M Alden),0.193735,13.9076,29842,18964.9,16.1102,0.54928,240.74,0.0967847,30.4762,8.26284,3750.21,0.202876,13.4197,47004.9,25092.4,31.5714,0.609153,74.9843,0.113133,9.05752,8.84346,1360.23,0.202648,13.3844,38351.5,22984.9,28.8396,0.571464,76.4905,0.10663,10.8759,8.24629,1286.01,0.207001,13.3088,42577.5,24137.8,30.4172,0.589179,58.0222,0.114346,8.66314,8.39125,931.293
Wurzburg Residence Germany (Rainer Lippert),0.0936295,28.9004,381146,181945,29.0658,0.59324,803.881,0.0549873,40.9359,16.9301,33033.2,0.0971468,28.9174,691606,261672,177.677,0.662394,177.324,0.0639927,8.51065,18.9661,7223.43,0.0972237,28.7441,484294,215331,143.984,0.614621,267.628,0.0583389,14.6833,17.5118,10657.2,0.0969956,28.9425,688897,261526,177.406,0.661575,183.833,0.0638515,8.77867,18.9526,7390.05
