Abbey of Saint Gall (Pjetter),0.00273094,0.00479865,0.00106637,0.00111405,0.00085396,0.00023408,0.00544887,0.00151285,0.000325112,0.00121808,0.000134379,0.000546188,0.000203737,0.00567428,0.00142616,0.0803546,0.00391434,0.00536651,0.00134813,0.00130045,0.00124409,0.000342451,0.00630283,0.00155187,0.000606875,0.00180762,0.000277429,0.00101001,0.000546188,0.00561793,0.00266592,0.0737397,0.00392301,0.00470762,0.00170358,0.00185097,0.00123976,0.000286098,0.0106637,0.0027136,0.000429147,0.00166891,0.000195067,0.000914647,0.000403138,0.0053405,0.00325979,0.0683428,0.00829685,0.00492436,0.00374095,0.00139148,0.00254888,0.000715246,0.00570896,0.00179028,0.00111838,0.00294768,0.000580866,0.00268759,0.0012701,0.00831419,0.00408774,0.0575187,0.0157224,0.00692271,0.00591703,0.00227145,0.00477264,0.0010577,0.00848325,0.00252287,0.00182929,0.00670163,0.000992674,0.00439984,0.00221943,0.00773332,0.00710477,0.0289913,0.00929386,0.00530149,0.00340717,0.00238849,0.0026269,0.000403138,0.0101825,0.00260956,0.000827951,0.00385799,0.000403138,0.00221076,0.00111405,0.00471629,0.00791105,0.050388,0.0186874,0.0104383,0.00623347,0.00274394,0.00470328,0.00111405,0.00606442,0.00222376,0.00161689,0.0065976,0.00103602,0.00462092,0.00215007,0.00762495,0.0090381,0.0227491,0.018488,0.0109107,0.00527981,0.00266158,0.00412675,0.000849625,0.00701808,0.00186397,0.00150418,0.00755559,0.000637219,0.00424379,0.00251853,0.00734752,0.00965798,0.0229789,0.0168841,0.0092375,0.00457324,0.00249686,0.00481165,0.000806277,0.0084399,0.00195934,0.00147817,0.00817547,0.000650223,0.00477264,0.00205904,0.00614244,0.0094239,0.0257315
Basilica of Saint Peter Vatican (Wolfgang Stuck),0.00838177,0.0080875,0.00408802,0.0033276,0.00261667,0.000657292,0.00934219,0.00374427,0.000934375,0.00650677,0.000222917,0.00249271,0.00145104,0.0112109,0.00716354,0.0398443,0.00981719,0.00769271,0.00483542,0.00325312,0.00303438,0.000747917,0.0094599,0.00351667,0.00118854,0.00677656,0.000375521,0.00286875,0.00173385,0.0109766,0.00749167,0.0363031,0.0102307,0.00777917,0.00480052,0.00360104,0.00299531,0.00075625,0.00965677,0.00363542,0.00122708,0.00697031,0.000340625,0.00302917,0.00194427,0.010926,0.00782292,0.0343562,0.0122766,0.00891927,0.00553073,0.00329635,0.00297083,0.000836458,0.00920208,0.0032349,0.00129688,0.00735729,0.000464583,0.00310781,0.00195677,0.0106177,0.00757656,0.0314271,0.0154172,0.00912083,0.00742812,0.00241146,0.00389271,0.000879167,0.00926354,0.00213385,0.00137813,0.00780781,0.000773958,0.00395625,0.00213073,0.00999583,0.009225,0.0242573,0.013501,0.00964167,0.00532292,0.00334948,0.00300521,0.000789583,0.00873333,0.00316615,0.00147292,0.007075,0.000472396,0.00310104,0.00220677,0.00954896,0.00912396,0.0295615,0.0171422,0.0108708,0.00759115,0.00216354,0.00328906,0.000835937,0.008425,0.00160573,0.00135156,0.00762135,0.0007125,0.00341927,0.0020224,0.0092401,0.0101677,0.0236135,0.0159573,0.0100536,0.00824531,0.00206458,0.0034724,0.000741146,0.010137,0.00161615,0.00123698,0.0074349,0.000646354,0.00375,0.00211979,0.00914167,0.00972187,0.0237328,0.0171865,0.0105151,0.00643438,0.00239167,0.00369896,0.000738021,0.00872188,0.00182448,0.00140833,0.00786719,0.000614583,0.00387448,0.00237187,0.00805833,0.0106719,0.0236943
Basilica of St Mary of Health Venice (Radomil),0.00504639,0.00686198,0.00213786,0.00265544,0.00136393,0.000562337,0.00576009,0.00355062,0.000663249,0.00477458,0.000142415,0.00151042,0.00108398,0.00973307,0.00713542,0.0567448,0.00688232,0.00684001,0.003243,0.00263428,0.00209147,0.000686849,0.00649251,0.00357422,0.000901693,0.0055721,0.0003125,0.00236816,0.00117676,0.00962565,0.00662028,0.0507048,0.00485189,0.00671712,0.00196126,0.00258138,0.00146647,0.000527344,0.00568115,0.00353841,0.000696615,0.00477946,0.000159505,0.00158773,0.00101888,0.00960775,0.006521,0.0580306,0.00749919,0.00661377,0.00373291,0.00252279,0.00193278,0.00061849,0.00687826,0.0031193,0.000880534,0.00462728,0.000351562,0.00194499,0.00130941,0.00886963,0.00787598,0.0509497,0.0150008,0.00890462,0.00671631,0.00251953,0.00364095,0.00102458,0.00830322,0.00236572,0.00161621,0.00733398,0.00083252,0.0037679,0.00226481,0.0089445,0.00912516,0.0273657,0.0116732,0.00824382,0.00440023,0.00253662,0.00397135,0.00103109,0.00807617,0.00299154,0.00191081,0.0078361,0.000776367,0.00396077,0.0020695,0.00874512,0.00858317,0.0329207,0.0159823,0.0129045,0.00649658,0.00268473,0.0027002,0.000921224,0.00725342,0.00225993,0.00129557,0.00731283,0.000680339,0.00287191,0.00190674,0.00868896,0.0105729,0.0251945,0.0164111,0.0127588,0.00552653,0.00264648,0.0029484,0.00085612,0.00735107,0.00227539,0.00131266,0.00648844,0.000640462,0.00316569,0.00191406,0.00727458,0.011394,0.0267627,0.015555,0.0124951,0.00506185,0.002618,0.00255208,0.000786947,0.00732422,0.00233561,0.00146729,0.00759766,0.000546875,0.00280273,0.00201904,0.00769694,0.0112052,0.0276619
Campo Santo Pisa (Georges Jansoone),0.00677327,0.00612061,0.0035262,0.00266195,0.00256266,0.000760905,0.00825846,0.00351725,0.000803223,0.00545085,0.000367025,0.00246419,0.00125,0.0105143,0.00736003,0.0473356,0.00529541,0.00656331,0.00271891,0.0025472,0.00189128,0.000671387,0.00773112,0.00337728,0.000530599,0.00503743,0.000152181,0.00187826,0.00108317,0.0107666,0.00724609,0.0522363,0.0063501,0.00665527,0.00296875,0.00262614,0.00212728,0.000779622,0.00775635,0.00354574,0.000843913,0.00543132,0.000242513,0.00214193,0.00141032,0.0107845,0.00778727,0.0482756,0.0141089,0.0106974,0.00572347,0.00279053,0.00314372,0.00112142,0.00788411,0.0030306,0.00186523,0.00682292,0.000891113,0.00319417,0.00193522,0.00808187,0.011722,0.0267139,0.0127881,0.0100928,0.00478434,0.00295654,0.00269124,0.00113118,0.00698568,0.00325521,0.00212484,0.00642334,0.000909831,0.0026888,0.00203857,0.00796631,0.0125944,0.0302954,0.0133276,0.00989339,0.00529134,0.00307373,0.00230469,0.00102295,0.00739176,0.00316243,0.00252441,0.00681966,0.000825195,0.00251139,0.00232666,0.00829183,0.0129704,0.0279891,0.0166561,0.0126986,0.00575195,0.00308268,0.00315837,0.000910645,0.00722982,0.00232178,0.00119385,0.00705566,0.000556641,0.00331055,0.00189209,0.00766602,0.00968018,0.0265617,0.0170785,0.0107992,0.00656331,0.00277995,0.00442546,0.000941569,0.00784993,0.00201742,0.0010848,0.00718587,0.000620117,0.00476318,0.00206543,0.00790853,0.00917643,0.024467,0.0159912,0.0124292,0.00619466,0.00279053,0.00322266,0.00072998,0.00866374,0.00201497,0.00113118,0.00833496,0.000498047,0.00343913,0.00211263,0.00792887,0.00981689,0.0244279
Canadian National Vimy Memorial France (HTO3),0.00794794,0.0125328,0.00496248,0.0020333,0.000982645,0.000370544,0.00934568,0.00193246,0.000471388,0.00911351,0.000157129,0.0010272,0.000628518,0.010326,0.00714587,0.0393715,0.00363743,0.0051243,0.00169325,0.000832552,0.0013743,0.000295497,0.00426829,0.000877111,0.000433865,0.00606707,0.000143058,0.00108818,0.000640244,0.00902674,0.00374296,0.0691041,0.00680347,0.00909475,0.00522514,0.00170732,0.00156191,0.000391651,0.00750938,0.00155722,0.000445591,0.00723265,0.000178236,0.00150328,0.000715291,0.0140197,0.00757036,0.042833,0.0123968,0.0186093,0.00497889,0.00220216,0.00121248,0.000506567,0.00702861,0.0017378,0.000863039,0.00973968,0.000255629,0.00137899,0.00128752,0.00817308,0.0100188,0.0279597,0.0117402,0.00951923,0.00449343,0.00208724,0.00231238,0.000560507,0.00668621,0.00182692,0.000956848,0.00691839,0.000311914,0.00229362,0.00136492,0.00856473,0.00770169,0.0410108,0.0140994,0.0175,0.00453799,0.00244606,0.00257036,0.000633208,0.00547139,0.00219512,0.00113743,0.00926829,0.000412758,0.00246482,0.00134146,0.00968809,0.00742495,0.0271576,0.0183349,0.0124883,0.00412758,0.00316135,0.0030652,0.000959193,0.00536351,0.00263133,0.00182692,0.0056379,0.00081379,0.00346623,0.00265009,0.00515009,0.010781,0.0278917,0.0149601,0.0132176,0.00413227,0.00326923,0.00235225,0.000670732,0.0057575,0.00268058,0.00140009,0.00557927,0.000576923,0.00253518,0.00185038,0.00639775,0.0100305,0.0329386,0.0159522,0.0128447,0.00514306,0.00329972,0.00208021,0.000755159,0.00599437,0.00328565,0.0018363,0.0056379,0.000670732,0.00233818,0.00218809,0.00661585,0.00958959,0.0301173
Casas Grandes Chihuahua Mexico (Aromgom),0.00485355,0.00497266,0.00130024,0.000918105,0.000635229,0.000263025,0.00350865,0.00149874,0.0005459,0.00283372,0.000258062,0.000947881,0.00128038,0.00605453,0.0135929,0.0636818,0.0101835,0.00947385,0.00377167,0.00126053,0.000769223,0.00027295,0.00540938,0.00147393,0.000451608,0.0032357,0.000297764,0.00106202,0.00118609,0.00542426,0.015315,0.0475578,0.00505702,0.00264017,0.00241685,0.00118113,0.000813888,0.000178658,0.00642177,0.0021439,0.000535975,0.00123572,0.000342428,0.000987583,0.00118113,0.00330022,0.0194688,0.0592401,0.0163522,0.00948874,0.00411907,0.003062,0.00257069,0.00110173,0.00496273,0.00282379,0.00231759,0.00529027,0.00096277,0.00289327,0.00270965,0.00488829,0.0108386,0.0327639,0.0163274,0.00860537,0.00461534,0.00305208,0.00325555,0.00139949,0.00581632,0.00297268,0.00276424,0.00603468,0.00114639,0.00361783,0.00266002,0.00523568,0.011181,0.0284613,0.0154539,0.0097071,0.0037419,0.00271958,0.00244663,0.000863515,0.00583617,0.00270965,0.00204464,0.00489325,0.00092803,0.0025161,0.00234737,0.00392056,0.0144713,0.0325456,0.0196524,0.0081488,0.00550863,0.00371212,0.00395033,0.00180643,0.00535975,0.00396026,0.00355828,0.00589076,0.0018114,0.00409425,0.00336473,0.00635229,0.00769223,0.0222827,0.0197566,0.00792548,0.00564262,0.00361287,0.00401485,0.00205457,0.00560788,0.00418854,0.00379153,0.00538456,0.0018908,0.00422328,0.0035682,0.00553344,0.00793541,0.0220147,0.0196921,0.00772201,0.00603468,0.00357813,0.00390071,0.00172207,0.00619845,0.00386597,0.00343421,0.00577165,0.00174688,0.00410418,0.00354339,0.00550367,0.00878403,0.0215432
El Infiernito Boyaca Colombia (Andrew Bertram),0.0184877,0.0179482,0.00591105,0.00308063,0.00179052,0.000856164,0.00593451,0.00226747,0.00150513,0.00743182,0.000508225,0.0020329,0.00168887,0.00641146,0.00948818,0.022745,0.0185072,0.01744,0.00682586,0.00309236,0.002072,0.000805342,0.00670076,0.00233002,0.00147776,0.00711125,0.000539501,0.00242384,0.00177488,0.00699787,0.00917542,0.0208138,0.0198873,0.0144844,0.00725199,0.00341293,0.00218146,0.000844436,0.00712297,0.00253331,0.00164587,0.00781103,0.00068024,0.00258022,0.00210327,0.00781885,0.00790486,0.0198247,0.0176628,0.00905032,0.007381,0.00296335,0.00367095,0.00111028,0.00829189,0.00222837,0.00198208,0.0075491,0.000957809,0.00379214,0.00282261,0.00672421,0.00968365,0.0222173,0.0177566,0.00756474,0.00915588,0.0026975,0.00388988,0.00103209,0.00937871,0.00220101,0.00193126,0.00720116,0.00102818,0.00387815,0.00242384,0.00816679,0.00914415,0.0206379,0.0182023,0.00874539,0.00834272,0.00264277,0.0036905,0.00081707,0.00864765,0.0024473,0.00185698,0.0068415,0.000906987,0.00350285,0.00278351,0.00733799,0.00983221,0.0214901,0.0195589,0.00875712,0.00741227,0.00335038,0.00306499,0.00121192,0.00774457,0.00312754,0.00258022,0.00645446,0.00122365,0.00359276,0.00301026,0.00681413,0.00899559,0.0211891,0.0205519,0.00960546,0.00639191,0.00320964,0.00317445,0.00126665,0.00687668,0.00282261,0.00254895,0.00643883,0.00120801,0.00343639,0.0030259,0.00644273,0.00969929,0.0213885,0.020849,0.00958591,0.0058055,0.0037335,0.00314318,0.00119628,0.00617689,0.00322919,0.00301808,0.00656784,0.0013253,0.0031119,0.00350676,0.00587196,0.00951945,0.0214471
Fort Stanwix New York (National Park Service),0.0186881,0.00972423,0.00791432,0.00296653,0.0017992,0.000696118,0.00689692,0.00239893,0.00206693,0.00610442,0.000556894,0.00223829,0.00262383,0.00786078,0.0093494,0.0248139,0.0150469,0.0141258,0.00729317,0.0028166,0.00242035,0.000985274,0.0081178,0.00280589,0.00228112,0.00671486,0.000760375,0.00230254,0.00242035,0.00673628,0.0145328,0.0173387,0.0136225,0.0183882,0.00372691,0.00291299,0.00171352,0.000481928,0.00673628,0.00263454,0.00189558,0.00667202,0.000342704,0.00197055,0.00253815,0.00413387,0.0184525,0.0204766,0.0194592,0.0131513,0.00568675,0.00284873,0.00151004,0.000621151,0.00536546,0.00249531,0.00216332,0.00544043,0.000578313,0.00184203,0.00245248,0.00646854,0.0128407,0.0237751,0.0190629,0.0113949,0.00841767,0.00294511,0.00233467,0.00138153,0.00480857,0.00276305,0.00262383,0.00559036,0.000953146,0.00216332,0.00234538,0.00813922,0.0119732,0.0198019,0.0210442,0.00990629,0.00712182,0.00321285,0.00195984,0.000771084,0.00571888,0.00285944,0.00239893,0.00519411,0.000803213,0.00197055,0.00276305,0.00699331,0.00955288,0.0244284,0.0156894,0.0164926,0.00433735,0.00279518,0.00189558,0.000631861,0.00661847,0.00205622,0.00173494,0.00816064,0.00043909,0.00210977,0.002249,0.00693976,0.0128514,0.0216975,0.0138688,0.0113092,0.00772155,0.00319143,0.00258099,0.000706827,0.00870683,0.00313788,0.00245248,0.0071004,0.000567604,0.00257028,0.00266667,0.00576171,0.013751,0.0206051,0.014929,0.00774297,0.0104203,0.00274163,0.00368407,0.0012423,0.00840696,0.00198126,0.00156359,0.00714324,0.00110308,0.00342704,0.0020241,0.012905,0.00678983,0.0205944
George Washington Birthplace Virginia (JGHowes),0.0151695,0.00878757,0.00671372,0.00248007,0.00326227,0.000808605,0.0101565,0.00205993,0.00143955,0.00933977,0.000685201,0.00336646,0.00242197,0.00900605,0.00775905,0.0266503,0.0108998,0.00574954,0.00555027,0.00182992,0.00240565,0.00062566,0.00649909,0.00136368,0.000998752,0.00616681,0.000532027,0.00245991,0.00160713,0.00604389,0.00532844,0.052046,0.00287285,0.00189523,0.00122731,0.000485931,0.00073802,0.000158456,0.00186546,0.000377893,0.000266014,0.00162777,0.0001138,0.00065255,0.000399501,0.00155911,0.00197397,0.0938927,0.0125737,0.00705416,0.00600211,0.00196821,0.00293863,0.000656871,0.00870306,0.00182512,0.00106405,0.0074916,0.000547873,0.00260636,0.001937,0.00877269,0.00653078,0.0394344,0.016791,0.00894363,0.00746855,0.0023341,0.00347066,0.000747623,0.00854461,0.0016561,0.00121627,0.00791655,0.000665514,0.00309133,0.0021718,0.00912753,0.00917219,0.0267891,0.0141088,0.00844569,0.00772976,0.00219629,0.00278114,0.000603092,0.00906079,0.00144051,0.000933449,0.00808269,0.000479689,0.00257947,0.0017579,0.00899885,0.00736099,0.0335475,0.0135753,0.0093681,0.00613416,0.00201527,0.00229953,0.000525305,0.00816768,0.00135504,0.000764909,0.00705272,0.000406223,0.00213675,0.00162873,0.00895227,0.00847882,0.0372458,0.0141972,0.00856814,0.00748968,0.00220926,0.00265389,0.000553635,0.0095957,0.00145059,0.000853741,0.00800106,0.000433593,0.00249016,0.00177903,0.0093292,0.00870979,0.031792,0.013838,0.00833621,0.00795688,0.00223807,0.00242149,0.000545952,0.00996735,0.00149092,0.000854701,0.00800298,0.000439355,0.00225968,0.00175022,0.00982426,0.00759243,0.0325881
Hosios Loukas Monastery Greece (BishkekRocks),0.00702582,0.00827064,0.00357068,0.00270665,0.00164694,0.000605579,0.00732748,0.00335618,0.000676913,0.00646294,0.000169291,0.0017552,0.00109361,0.0110202,0.00644034,0.0483084,0.00802097,0.00898925,0.00370406,0.00265616,0.00139803,0.000553838,0.00731091,0.00330444,0.000668121,0.0055753,0.000200436,0.00147715,0.00103082,0.00972142,0.00738375,0.0484423,0.00593498,0.00750732,0.00324014,0.00287066,0.00154447,0.000571922,0.00793809,0.00388415,0.000539521,0.0049863,0.000149197,0.00151583,0.000940645,0.00944186,0.00712855,0.0522433,0.0173905,0.0144802,0.0067111,0.00240624,0.00169743,0.000567903,0.00888978,0.00168713,0.00126114,0.00854467,0.000450856,0.00192951,0.00203827,0.00822342,0.0127124,0.0214464,0.0157933,0.0130377,0.00707279,0.00238263,0.00205686,0.000594276,0.00971439,0.00175997,0.00103961,0.00879057,0.000388063,0.00225478,0.00175369,0.00905857,0.0121063,0.0226335,0.0161073,0.0175219,0.00506768,0.00224624,0.00145178,0.000535,0.00759323,0.00184286,0.00108758,0.00800314,0.000337326,0.00168537,0.00165222,0.00732246,0.0139826,0.0240004,0.0146688,0.0117584,0.00719712,0.00226885,0.001872,0.00066134,0.00922033,0.00187476,0.00109562,0.0093851,0.000449852,0.00216009,0.00171325,0.0106935,0.00979627,0.0256217,0.0133639,0.0113907,0.00720114,0.002409,0.00227237,0.000590509,0.0111275,0.00190415,0.000859516,0.0087873,0.000359429,0.00234822,0.00157335,0.00956519,0.0110913,0.0255933,0.0165468,0.0140328,0.00697107,0.00275537,0.00167357,0.000535,0.00931602,0.00206766,0.00110114,0.00883528,0.000369727,0.00198101,0.00183332,0.00794035,0.011711,0.0227669
